gene	symbol	gene.name	phenotype.summary
YMR275C	BUL1	Binds Ubiquitin Ligase	Non-essential gene; null mutant is sensitive to elevated growth temperatures and resistant to multiple chemicals, including phytosphingosine, rapamycin; in systematic studies null mutants show increased sensitivity to cell wall-affecting drugd caffeine and Congo Red, but increased resistance to several drugs, such as camptothecin, cisplatin, fenpropimorph
YML111W	BUL2	Binds Ubiquitin Ligase	Non-essential gene; null mutant is resistant to phytosphingosine; in systematic studies null mutants show abnormally elongated buds, decreased competitive fitness and increased chronological lifespan
YOR018W	ROD1	Resistance to O-Dinitrobenzene	NA
YFR022W	ROG3	Revertant Of Glycogen synthase kinase mutation	NA
YOR322C	LDB19	Low Dye Binding	NA
YKR021W	ALY1	Arrestin-Like Yeast protein	Non-essential gene; null mutant has a respiratory growth defect and decreased competitive fitness in minimal medium; null mutant is resistant to toxic amino acid analogs in nitrogen limiting medium; null mutant is rapamycin sensitive while overexpressor is rapamycin resistant; overexpression results in a decreased growth rate; heterozygous null mutant is haploproficient

YIL035C	CKA1	Casein Kinase Alpha subunit	Non-essential gene; null mutant is sensitive to cold and ionic stress, and shows lower transposition of Ty3 element; in systematic studies mutants display reduced competitive fitness and sensitivity to a variety of chemicals, including myriocin, geldanamycin, caffeine, cycloheximide, camptothecin, MMS, bleomycin, DMSO, tunicamycin
YOR061W	CKA2	Casein Kinase Alpha' subunit	Non-essential gene; null mutation causes ionic stress sensitivity, increases resistance to benomyl and extends replicative lifespan; in systematic studies mutants show increased sensitivity to a variety of chemicals, including Calcofluor White, Congo Red, wortmannin, geldanamycin, nigericin, rapamycin, caspofungin, fluconazole, tunicamycin
YJL216C	IMA5	IsoMAltase	NA
YIL172C	IMA3	IsoMAltase	NA
YJL221C	IMA4	IsoMAltase	NA
YNL104C	LEU4	LEUcine biosynthesis	NA
YOR108W	LEU9	LEUcine biosynthesis	NA
YBL050W	SEC17	SECretory	NA
YDR212W	TCP1	Tailless Complex Polypeptide	NA
YDL145C	COP1	COat Protein	Essential gene; repression leads to mislocalization of multiple protein reporters; overexpression causes slow growth
YFL022C	FRS2	phenylalanyl (F)-tRNA Synthetase	NA
YKL019W	RAM2	RAS protein and A-factor Maturation	NA
YPL231W	FAS2	Fatty Acid Synthetase	Essential gene; null mutant is rescuable by fatty acid supplement; conditional mutations cause increased heat sensitivity; overexpression causes slow growth

YGR240C	PFK1	PhosphoFructoKinase	Non-essential gene; reduction of function prevents growth under anaerobic conditions; null mutant is blocked in glycolysis and shows decreased rate of both respiratory and fermentative growth, increased resistance to caffeine and oxidative stress, lower survival in stationary phase and competitive fitness

YOR142W	LSC1	Ligase of Succinyl-CoA	NA
YKL007W	CAP1	CAPping	Non-essential gene; null mutant is heat sensitive, and displays decreased competitive fitness on both fermentative and respiratory growth media; null mutant has abnormally large and round cells; null mutant displays a random budding pattern and an inability to properly localize bud-site selection proteins Bud8p and Rax2p to the growing bud tip; null mutant has an endocytosis defect; null mutant displays decreased nitrogen starvation-induced autophagy; null mutant displays increased survival following a ramped heat stimulus; heterozygous diploid null is haploinsufficient
YBL099W	ATP1	ATP synthase	Non-essential gene; null mutant has a decreased growth rate on rich medium, a severe respiratory growth defect, a decreased ability to utilize various nitrogen sources, decreased competitive fitness on a variety of media and decreased starvation resistance; null mutant has a reduced cell size; null mutant displays a reduced survival rate in stationary phase and decreased glycogen accumulation; null mutant has a reduced chronological lifespan (CLS), while gain-of-function mutants have increased CLS; null mutant has an elevated dietary restriction-induced replicative lifespan extension; null mutant has decreased resistance to acid and alkaline pH, desiccation and innate thermotolerance

YHR024C	MAS2	Mitochondrial ASsembly	NA
YHR193C	EGD2	Enhancer of Gal4 DNA binding	NA
YJL002C	OST1	OligoSaccharylTransferase	Essential gene; conditional (ts) mutations cause defects in protein glycosylation and secretion, slow growth, increased flocculation; overexpression leads to slow growth

YJR007W	SUI2	SUppressor of Initiator codon	NA
YKR026C	GCN3	General Control Nonderepressible	Non-essential gene; null mutant shows increased sensitivity to numerous drugs, decreased thermotolerance and reduced competitive fitness; homozygous diploid is auxotrophic for inositol; overexpression causes slow growth
YJL031C	BET4	Blocked Early in Transport	Essential gene; overexpression causes abnormalities in cell cycle progression and cell morphology; conditional (ts) mutants show increased chromosome instability

YML124C	TUB3	TUBulin	NA
YML085C	TUB1	TUBulin	Essential gene; heterozygous diploid null mutants are haploinsufficient and sensitive to heat, TOR inhibitor rapamycin, and actin polymerization inhibitor latrunculin A; conditional mutants have abnormal spindles at cold temperatures; overexpression interferes with the cell cycle and slows growth

YNL148C	ALF1	ALpha tubulin Folding	Non-essential gene; null mutant is sensitive to microtubule-binding drugs benomyl and nocodazole and displays slow growth and sensitivity to freezing and thawing; in systematic studies null mutants are also sensitive to caffeine, paromomycin, DTT, DMSO, tunicamycin, rapamycin, but resistant to wortmannin, and show decreased competitive fitness; null mutant forms large cells and abnormally elongated buds

YMR027W	NA	NA	NA
YJR062C	NTA1	N-Terminal Amidase	NA
YBR069C	TAT1	Tyrosine and tryptophan Amino acid Transporter	NA
YMR289W	ABZ2	para-AminoBenZoic acid (PABA) biosynthesis	Non-essential gene; in systematic studies, null mutant shows auxotrophies for para-aminobenzoic acid (PABA) and folic acid, and sensitivity to sulfanilamide; also shows reduced endocytosis and extended hibernating lifespan

YGL040C	HEM2	HEMe biosynthesis	Essential gene on standard rich medium due to heme auxotrophy; mutants lack ergosterol; in large-scale studies, repressing expression confers increased competitive fitness; heterozygous null diploid shows haploinsufficiency

YKL157W	APE2	AminoPEptidase	Non-essential gene; null mutant displays a small defect in vacuolar morphology in the presence of salt; null mutant has decreased resistance to the expression of alpha-synuclein, and to rapamycin treatment; overexpression results in decreased vegetative growth

YER166W	DNF1	Drs2 Neo1 Family	Non-essential gene; in systematic studies mutants show reduced competitive fitness and increased sensitivity to cycloheximide, camptothecin, fenpropimorph, rapamycin and mefloquine, but increased resistance to bleomycin and myriocin
YDR093W	DNF2	Drs2 Neo1 Family	Non-essential gene; null mutant has low levels of lysophosphatidylcholine; in systematic studies mutants show increased competitive fitness and increased resistance to L-canavanine, edelfosine, myriocin, but increased sensitivity to rapamycin, mefloquine
YGR121C	MEP1	NA	Non-essential gene; null mutation causes increased biofilm formation and polyphosphate accumulation; overexpression causes slow growth

YNL142W	MEP2	NA	NA
YPR138C	MEP3	NA	NA
YDR477W	SNF1	Sucrose NonFermenting	Non-essential gene; mutants are defective in glucose-dependent regulation of transcription, with pleiotropic effects on carbon source utilization, respiratory growth, cell wall structure, thermotolerance, hyperosmotic stress and starvation sensitivity, autophagy, peroxisome biogenesis, filamentous growth, sporulation in diploids

YML035C	AMD1	AMP Deaminase	Non-essential gene; null mutant is heat sensitive and has a decreased growth rate on rich media and decreased competitive fitness on both rich and synthetic complete media; null mutant displays a delay in acceleration of budding after a glucose pulse; null mutant displays increased survival following a ramped heat stimulus and increased resistance to zinc deficiency; null mutant has increased ability to form biofilms and a semi-smooth colony morphology; null mutant displays decreased resistance to compounds that alter DNA precursor pools

YCR009C	RVS161	Reduced Viability on Starvation	NA
YOR052C	TMC1	Trivalent Metalloid sensitive, Cuz1-related protein	NA
YNR044W	AGA1	a-AGglutinin	Non-essential gene; null mutant shows reduced mating efficiency and decreased agglutination

YJR092W	BUD4	BUD site selection	Non-essential gene; null mutant haploids show reduced axial budding pattern and increased bipolar budding pattern, normally seen in diploids; null mutation leads to mislocalization of bud neck proteins and formation of aberrant septin rings; in native W303, a naturally occuring bud4 mutation causes increased sedimentation in liquid cultures
YPL239W	YAR1	Yeast Ankyrin Repeat	NA
YOR034C	AKR2	AnKyrin Repeat-containing protein	Non-essential gene; overexpression leads to increased resistance to phytosphingosine; null mutant shows increased competitive fitness, increased sensitivity to cycloheximide and mycophenolic acid, and increased resistance to fenpropimorph; in a large-scale survey overexpression causes slow growth

YDR354W	TRP4	TRyPtophan	NA
YER090W	TRP2	TRyPtophan	Non-essential gene; null mutation causes tryptophan auxotrophy and increased resistance to toxic analog 5-fluoroanthranilic acid; in systematic studies null mutant shows reduced growth rate and competitive fitness, and sensitivity to alkaline pH, oxidative stress and multiple chemicals, including azole drugs and MMS

YDL197C	ASF2	Anti-Silencing Function	Non-essential gene; overexpression causes derepression of silent mating type loci, but not at telomeres; in systematic studies null mutants are resistant to toxaphene and cycloheximide, sensitive to miconazole, show reduced anaerobic growth rate, and increased biofilm formation

YJL207C	LAA1	Large AP-1 Accessory	NA
YDR423C	CAD1	CADmium resistance	Non-essential gene; null mutant is sensitive to oxidative stress; heterozygous diploid null is haploinsufficient; overexpression increases cadmium resistance and filamentous growth

YCL050C	APA1	AP4A phosphorylase	Non-essential gene; null mutant has shorter chronological lifespan and decreased anaerobic growth; also shows fragmented vacuoles and increased resistance to myriocin; in large-scale studies null mutants show sensitivity to MMS, amitrole and cycloheximide, and reduced thermotolerance

YER005W	YND1	Yeast Nucleoside Diphosphatase	NA
YLL043W	FPS1	fdp1 Suppressor	NA
YOR129C	AFI1	ArF3-Interacting protein	Non-essential gene; null mutant has defects in actin cytoskeleton and abnormal budding; in systematic studies, null mutant shows shorter chronological lifespan, decreased anaerobic growth rate and increased competitive fitness

YPL218W	SAR1	Secretion-Associated, Ras-related	NA
YPL051W	ARL3	ADP-Ribosylation factor-Like	Non-essential gene; null mutant mislocalizes Golgi protein Arl1p to cytoplasm; null mutant has fragmented vacuoles and shows increased sensitivity to protein glycosylation inhibitor, tunicamycin, and cell wall-affecting dye, Congo Red

YPL111W	CAR1	Catabolism of ARginine	NA
YHR047C	AAP1	Arginine/alanine AminoPeptidase	Non-essential gene; null mutant displays increased competitive fitness in minimal medium and in conditions like those in Phase I of batch fermentation; null mutant has increased resistance to the antifungal agent miconazole; null mutant displays decreased resistance to Benzo[a]pyrene, a carcinogen

YDR465C	RMT2	aRginine MeThyltransferase	NA
YNL270C	ALP1	NA	Non-essential gene; null mutation increases competitive fitness and resistance to fluconazole and cycloheximide, but increases sensitivity to flucytosine and camptothecin

YHR018C	ARG4	ARGinine requiring	Non-essential gene; null mutant is auxotrophic for arginine and displays decreased accumulation of arginine; null mutant has decreased competitive fitness in synthetic medium and is unable to use allantoin as nitrogen source; homozygous diploid null displays decreased resistance to zinc deficiency; heterozygous null mutant is haploproficient
